key,text
bags,"Bags"
bin,"Bin"
books,"Books"
books-you-can-read-a-book-here,"Books! You can read a book here."
can-you-put-each-label-in-the-right-place,"Can you put each label in the right place?"
canteen,"Canteen"
choose-a-level,"Choose a level!"
entrance,"Entrance"
great-job,"Great job!"
hooray,"Hooray!"
label-it,"Label It"
level-five-which-label-goes-here,"Level five! Which label goes here?"
level-four-label-our-school,"Level four! Label our school!"
level-one-let-s-warm-up,"Level one! Let's warm up!"
level-six-super-labels,"Level six! Super labels!"
level-three-label-our-classroom,"Level three! Label our classroom!"
level-two-signs-from-your-book,"Level two! Signs from your book!"
listen-carefully,"Listen carefully."
office,"Office"
oops-try-again,"Oops! Try again."
pencils,"Pencils"
playground,"Playground"
put-each-label-in-the-right-place,"Put each label in the right place."
shoes,"Shoes"
super,"Super!"
tap-a-word-or-drag-it-to-its-picture,"Tap a word, or drag it to its picture."
tap-here-to-hear-it-again,"Tap here to hear it again."
this-label-says-bags,"This label says Bags."
this-label-says-bin,"This label says Bin."
this-label-says-books,"This label says Books."
this-label-says-canteen,"This label says Canteen."
this-label-says-entrance,"This label says Entrance."
this-label-says-office,"This label says Office."
this-label-says-pencils,"This label says Pencils."
this-label-says-playground,"This label says Playground."
this-label-says-shoes,"This label says Shoes."
this-label-says-toys,"This label says Toys."
this-label-says-washroom,"This label says Washroom."
this-label-says-water,"This label says Water."
toys,"Toys"
washroom,"Washroom"
water,"Water"
well-done,"Well done!"
which-label-goes-here,"Which label goes here?"
which-sign-tells-you-where-you-can-read-a-book,"Which sign tells you where you can read a book?"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
