key,text
arm-is-a-naming-word,"Arm is a naming word!"
arm,"Arm!"
can-you-find-the,"Can you find the"
can-you-find-the-arm,"Can you find the arm"
can-you-find-the-chest,"Can you find the chest"
can-you-find-the-eyes,"Can you find the eyes"
can-you-find-the-face,"Can you find the face"
can-you-find-the-foot,"Can you find the foot"
can-you-find-the-hand,"Can you find the hand"
can-you-find-the-head,"Can you find the head"
can-you-find-the-leg,"Can you find the leg"
can-you-find-the-mouth,"Can you find the mouth"
can-you-find-the-nose,"Can you find the nose"
chest-is-a-naming-word,"Chest is a naming word!"
chest,"Chest!"
choose-a-level,"Choose a level!"
eyes-is-a-naming-word,"Eyes is a naming word!"
eyes,"Eyes!"
face-is-a-naming-word,"Face is a naming word!"
face,"Face!"
find-one-more,"Find one more!"
foot-is-a-naming-word,"Foot is a naming word!"
foot,"Foot!"
great-job,"Great job!"
hand-is-a-naming-word,"Hand is a naming word!"
hand,"Hand!"
head-is-a-naming-word,"Head is a naming word!"
head,"Head!"
hooray,"Hooray!"
leg-is-a-naming-word,"Leg is a naming word!"
leg,"Leg!"
let-s-listen-to-each-word,"Let's listen to each word."
let-s-name-the-parts-of-the-body,"Let's name the parts of the body!"
level-five-where-does-it-go,"Level five! Where does it go?"
level-four-naming-words,"Level four! Naming words!"
level-one-let-s-warm-up,"Level one! Let's warm up!"
level-six-super-star-challenge,"Level six! Super star challenge!"
level-three-follow-the-arrow,"Level three! Follow the arrow!"
level-two-body-words-from-your-book,"Level two! Body words from your book!"
listen,"Listen."
look-at-the-red-arrow,"Look at the red arrow."
look-carefully,"Look carefully."
mouth-is-a-naming-word,"Mouth is a naming word!"
mouth,"Mouth!"
name-the-body-part,"Name the Body Part"
nose-is-a-naming-word,"Nose is a naming word!"
nose,"Nose!"
oops-try-again,"Oops! Try again."
our-teeth-are-in-our-mouth,"Our teeth are in our mouth."
super,"Super!"
tap-a-speaker-to-hear-a-word-then-tap-the-word-you-choose,"Tap a speaker to hear a word. Then tap the word you choose."
tap-here-to-hear-the-question-again,"Tap here to hear the question again."
tap-the-picture-you-choose,"Tap the picture you choose."
we-look-with-our-eyes,"We look with our eyes."
we-wave-with-our-hand,"We wave with our hand."
we-wear-a-hat-on-our-head,"We wear a hat on our head."
we-wear-socks-on-our-feet,"We wear socks on our feet."
well-done,"Well done!"
what-do-you-look-through-your-glasses-with,"What do you look through your glasses with?"
what-do-you-wave-hello-with,"What do you wave hello with?"
what-is-the-arrow-pointing-to,"What is the arrow pointing to?"
where-do-you-wear-a-hat,"Where do you wear a hat?"
where-do-you-wear-socks,"Where do you wear socks?"
which-part-has-your-teeth,"Which part has your teeth?"
which-word-names-a-part-of-your-body,"Which word names a part of your body?"
words-that-name-things-are-called-nouns-which-word-is-a-naming-word,"Words that name things are called nouns. Which word is a naming word?"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
big,"big"
funny,"funny"
happy,"happy"
small,"small"
soft,"soft"
tall,"tall"
