key,text
can-you-find-three-words-that-start-the-same,"Can you find three words that start the same?"
choose-a-level,"Choose a level!"
find-one-more,"Find one more!"
find-words-that-start-with-the-same-sound,"Find words that start with the same sound."
great-job,"Great job!"
hooray,"Hooray!"
let-s-listen-to-each-word,"Let's listen to each word."
level-five-odd-one-out,"Level five! Odd one out!"
level-four-find-two,"Level four! Find two!"
level-one-let-s-warm-up,"Level one! Let's warm up!"
level-six-super-star-challenge,"Level six! Super star challenge!"
level-three-same-start,"Level three! Same start!"
level-two-sign-words-from-your-book,"Level two! Sign words from your book!"
listen,"Listen."
now-find-two,"Now find two!"
one-word-starts-with-a-different-sound-can-you-find-it,"One word starts with a different sound. Can you find it?"
oops-try-again,"Oops! Try again."
read-the-words-can-you-find-three-words-that-start-the-same,"Read the words. Can you find three words that start the same?"
same-first-sound,"Same First Sound"
super,"Super!"
tap-a-speaker-to-hear-a-word-then-tap-the-word-you-choose,"Tap a speaker to hear a word. Then tap the word you choose."
tap-here-to-hear-the-question-again,"Tap here to hear the question again."
two-words-start-the-same-can-you-tap-them-both,"Two words start the same. Can you tap them both?"
well-done,"Well done!"
which-word-starts-like,"Which word starts like"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
bag,"bag"
ball,"ball"
banana,"banana"
bell,"bell"
book,"book"
bus,"bus"
door,"door"
drum,"drum"
duck,"duck"
egg,"egg"
elephant,"elephant"
exit,"exit"
face,"face"
fan,"fan"
fish,"fish"
foot,"foot"
hand,"hand"
hat,"hat"
hen,"hen"
house,"house"
leaf,"leaf"
leg,"leg"
lion,"lion"
lollipop,"lollipop"
mango,"mango"
milk,"milk"
moon,"moon"
mouth,"mouth"
nest,"nest"
nine,"nine"
nose,"nose"
sign,"sign"
soap,"soap"
sock,"sock"
staff,"staff"
stop,"stop"
sun,"sun"
tap,"tap"
teeth,"teeth"
toys,"toys"
tree,"tree"
