key,text
can-you-match-each-sense-to-its-body-part,"Can you match each sense to its body part?"
can-you-match-each-sense-to-what-we-do,"Can you match each sense to what we do?"
choose-a-level,"Choose a level!"
eat-a-banana,"Eat a banana!"
eat-an-ice-cream,"Eat an ice cream!"
great-job,"Great job!"
hooray,"Hooray!"
hug-a-teddy,"Hug a teddy!"
level-five-mix-it-up,"Level five! Mix it up!"
level-four-match-three,"Level four! Match three!"
level-one-let-s-warm-up,"Level one! Let's warm up!"
level-six-all-five-senses,"Level six! All five senses!"
level-three-which-sense-do-we-use,"Level three! Which sense do we use?"
level-two-our-senses-from-your-book,"Level two! Our senses, from your book!"
listen-carefully,"Listen carefully."
listen-to-a-drum,"Listen to a drum!"
listen,"Listen."
look-at-the-moon,"Look at the moon!"
match-each-sense-to-its-body-part,"Match each sense to its body part."
oops-try-again,"Oops! Try again."
sense-and-body-part,"Sense and Body Part"
sniff-a-flower,"Sniff a flower!"
sniff-the-soap,"Sniff the soap!"
stroke-a-pet,"Stroke a pet!"
super,"Super!"
tap-a-word-or-drag-it-to-its-picture,"Tap a word, or drag it to its picture."
tap-here-to-hear-it-again,"Tap here to hear it again."
we-hear-with-our,"We hear with our ...."
we-hear-with-our-ears,"We hear with our ears."
we-see-things-with-our,"We see things with our ...."
we-see-things-with-our-eyes,"We see things with our eyes."
we-smell-with-our,"We smell with our ...."
we-smell-with-our-nose,"We smell with our nose."
we-taste-with-our,"We taste with our ...."
we-taste-with-our-tongue,"We taste with our tongue."
we-touch-and-feel-things-with-our,"We touch and feel things with our ...."
we-touch-and-feel-things-with-our-hands,"We touch and feel things with our hands."
well-done,"Well done!"
which-body-part,"Which body part?"
which-sense-do-we-use-to,"Which sense do we use to"
which-sense-do-we-use-to-eat-a-banana,"Which sense do we use to eat a banana"
which-sense-do-we-use-to-eat-an-ice-cream,"Which sense do we use to eat an ice cream"
which-sense-do-we-use-to-hug-a-teddy,"Which sense do we use to hug a teddy"
which-sense-do-we-use-to-listen-to-a-drum,"Which sense do we use to listen to a drum"
which-sense-do-we-use-to-look-at-the-moon,"Which sense do we use to look at the moon"
which-sense-do-we-use-to-sniff-a-flower,"Which sense do we use to sniff a flower"
which-sense-do-we-use-to-sniff-the-soap,"Which sense do we use to sniff the soap"
which-sense-do-we-use-to-stroke-a-pet,"Which sense do we use to stroke a pet"
wow,"Wow!"
yay,"Yay!"
yay-three-stars-you-are-a-star,"Yay! Three stars! You are a star!"
you-finished-level-1,"You finished level 1!"
you-finished-level-2,"You finished level 2!"
you-finished-level-3,"You finished level 3!"
you-finished-level-4,"You finished level 4!"
you-finished-level-5,"You finished level 5!"
you-finished-level-6,"You finished level 6!"
you-got-it,"You got it!"
ears,"ears"
eyes,"eyes"
hands,"hands"
hear,"hear"
nose,"nose"
see,"see"
smell,"smell"
taste,"taste"
tongue,"tongue"
touch,"touch"
